Bezier v1(SemanticColor),Bezier v3(SemanticColorToken)
txt-black-darker,"text-neutral-light, icon-neutral-heavy"
bgtxt-navy-normal,"text-accent-navy, icon-accent-navy, fill-accent-navy-heavier"
bgtxt-purple-normal,"text-accent-purple, icon-accent-purple, fill-accent-purple-heavier"
bgtxt-pink-normal,"text-accent-pink, icon-accent-pink, fill-accent-pink-heavier"
txt-black-dark,"text-neutral-lighter, icon-neutral"
txt-black-darkest,"text-neutral, icon-neutral-heavier"
bgtxt-yellow-normal,"text-accent-yellow, icon-accent-yellow, fill-accent-yellow-heavier"
bgtxt-teal-normal,"text-accent-teal, icon-accent-teal, fill-accent-teal-heavier"
bdr-black-light,border-neutral
bg-grey-lighter,"fill-neutral-lighter, surface-higher"
bg-grey-lightest,fill-neutral-lightest
bg-black-lighter,fill-neutral-light
bg-black-dark,fill-neutral-heavy
bgtxt-blue-normal,"text-accent-blue, icon-accent-blue, icon-critical, fill-accent-blue-heavier, state-action"
bg-black-darker,"fill-neutral-heavier, surface-glass-higher"
bgtxt-blue-lightest,"fill-accent-blue, fill-accent-pink"
bgtxt-green-lightest,fill-accent-green
bgtxt-cobalt-normal,"text-accent-cobalt, icon-accent-cobalt, fill-accent-cobalt-heavier"
bgtxt-cobalt-lighter,fill-accent-cobalt-heavy
bgtxt-cobalt-lightest,fill-accent-cobalt
bgtxt-orange-normal,"text-accent-orange, icon-accent-orange, state-warning, fill-accent-orange-heavier"
bgtxt-orange-lighter,fill-accent-orange-heavy
bgtxt-red-normal,"text-accent-red, icon-accent-red, icon-warning, fill-accent-red-heavier"
bgtxt-orange-lightest,fill-accent-orange
bgtxt-red-lighter,fill-accent-red-heavy
bgtxt-red-lightest,fill-accent-red
bgtxt-absolute-white-dark,"text-absolute-white, icon-absolute-white, fill-absolute-white"
bg-white-normal,"surface, surface-accent-blue, surface-accent-red, surface-accent-green, surface-accent-cobalt, surface-accent-orange, surface-accent-pink, surface-accent-purple"
bg-black-lightest,surface-low
bg-white-low,surface-high
bg-white-high,"surface-highest, surface-higher"
bg-lounge,surface-glass
bg-navi,surface-glass-higher
bg-header-float,surface-glass-high
bg-gnb,surface-glass-highest
bgtxt-green-normal,"text-accent-green, icon-accent-green, icon-success, fill-accent-green-heavier"
bgtxt-olive-normal,"text-accent-olive, icon-accent-olive, fill-accent-olive-heavier"
bdr-black-dark,border-neutral
bdr-black-lightest,border-neutral
bdr-grey-light,border-neutral
bdr-white,"border-detach-high, border-detach-higher, border-detach-highest"
bg-black-darkest,fill-neutral-heavier
bg-black-light,fill-neutral-light
bg-grey-dark,"icon-neutral, fill-neutral-heavier, border-neutral-heavy, icon-neutral-heavy"
bg-grey-darkest,fill-neutral-heaviest
bg-header,surface-higher
bg-white-dim-dark,dim-absolute-white-heavy
bg-white-dim-light,dim-absolute-white
bgtxt-absolute-black-dark,"icon-absolute-black-heaviest, text-absolute-black-heaviest"
bgtxt-absolute-black-light,fill-absolute-black-light
bgtxt-absolute-black-lighter,dim-absolute-black
bgtxt-absolute-black-lightest,"dim-absolute-black, fill-absolute-black-light"
bgtxt-absolute-black-normal,text-absolute-black
bgtxt-absolute-white-light,icon-neutral
bgtxt-absolute-white-lighter,fill-neutral-lighter
bgtxt-absolute-white-lightest,"border-neutral, fill-absolute-white-light"
bgtxt-absolute-white-normal,"fill-absolute-white, border-absolute-white, text-absolute-black"
bgtxt-blue-dark,
bgtxt-blue-light,state-action-light
bgtxt-blue-lighter,fill-accent-blue-heavy
bgtxt-cobalt-dark,
bgtxt-cobalt-light,
bgtxt-green-dark,
bgtxt-green-light,
bgtxt-green-lighter,fill-accent-green-heavy
bgtxt-navy-dark,
bgtxt-navy-light,
bgtxt-navy-lighter,fill-accent-navy-heavy
bgtxt-navy-lightest,fill-accent-navy
bgtxt-olive-dark,
bgtxt-olive-light,
bgtxt-olive-lighter,fill-accent-olive-heavy
bgtxt-olive-lightest,fill-accent-olive
bgtxt-orange-dark,
bgtxt-orange-light,state-warning-light
bgtxt-pink-dark,
bgtxt-pink-light,
bgtxt-pink-lighter,fill-accent-pink-heavy
bgtxt-pink-lightest,fill-accent-pink
bgtxt-purple-dark,
bgtxt-purple-light,
bgtxt-purple-lighter,fill-accent-purple-heavy
bgtxt-purple-lightest,fill-accent-purple
bgtxt-red-dark,
bgtxt-red-light,
bgtxt-teal-dark,
bgtxt-teal-light,
bgtxt-teal-lighter,fill-accent-teal-heavy
bgtxt-teal-lightest,fill-accent-teal
bgtxt-yellow-dark,
bgtxt-yellow-light,
bgtxt-yellow-lighter,fill-accent-yellow-heavy
bgtxt-yellow-lightest,fill-accent-yellow
shdw-base,elevation-base
shdw-base-inner,elevation-base-inner
shdw-large,elevation-large
shdw-medium,elevation-medium
shdw-small,elevation-small
shdw-xlarge,elevation-xlarge
txt-black-pure,text-neutral-heaviest
txt-white-normal,text-absolute-white
bg-grey-dim-lightest,surface-low
bg-grey-light,fill-neutral-light
